2020-08-26-1045,20.0,22.2,266.0
2020-08-26-1050,17.7,21.8,275.0
2020-08-26-1055,18.1,21.4,282.0
2020-08-26-1100,18.3,19.4,286.0
2020-08-26-1105,16.7,20.2,286.0
2020-08-26-1110,16.7,20.2,284.0
2020-08-26-1115,18.5,21.2,287.0
2020-08-26-1120,18.1,20.2,290.0
2020-08-26-1125,17.5,19.8,289.0
2020-08-26-1130,15.6,18.9,291.0
2020-08-26-1135,19.0,21.8,289.0
2020-08-26-1140,20.8,23.1,294.0
2020-08-26-1145,18.9,20.6,285.0
2020-08-26-1150,17.3,20.4,278.0
2020-08-26-1155,17.7,20.0,273.0
2020-08-26-1200,19.0,21.8,276.0
2020-08-26-1205,19.6,22.5,278.0
2020-08-26-1210,18.9,20.8,270.0
2020-08-26-1215,18.1,20.4,281.0
2020-08-26-1220,16.5,18.9,274.0
2020-08-26-1225,18.5,21.4,274.0
2020-08-26-1230,20.2,22.9,271.0
2020-08-26-1235,18.3,22.4,271.0
2020-08-26-1240,19.4,21.6,271.0
2020-08-26-1245,17.5,20.0,266.0
2020-08-26-1250,18.9,20.2,272.0
2020-08-26-1255,19.8,24.1,276.0
2020-08-26-1300,20.4,23.1,275.0
2020-08-26-1305,18.1,23.7,278.0
2020-08-26-1310,17.5,21.0,269.0
2020-08-26-1315,20.2,22.5,271.0
2020-08-26-1320,17.9,23.5,268.0
2020-08-26-1325,19.0,23.5,267.0
2020-08-26-1330,19.2,21.8,264.0
2020-08-26-1335,18.9,22.2,263.0
2020-08-26-1340,21.2,23.5,264.0
2020-08-26-1345,17.7,20.0,267.0
2020-08-26-1350,18.7,22.7,260.0
2020-08-26-1355,19.0,21.8,263.0
2020-08-26-1400,16.9,20.8,270.0
2020-08-26-1405,19.2,22.2,274.0
2020-08-26-1410,17.7,19.8,267.0
2020-08-26-1415,18.5,21.2,270.0
2020-08-26-1420,17.5,20.6,265.0
2020-08-26-1425,19.8,22.7,264.0
2020-08-26-1430,20.0,22.7,265.0
2020-08-26-1435,18.9,21.2,273.0
2020-08-26-1440,18.5,22.0,270.0
2020-08-26-1445,20.2,22.9,270.0
2020-08-26-1450,20.4,22.7,273.0
2020-08-26-1455,20.8,22.9,278.0
2020-08-26-1500,20.4,23.5,275.0
2020-08-26-1505,21.8,24.9,271.0
2020-08-26-1510,21.8,27.0,275.0
2020-08-26-1515,19.0,21.0,269.0
2020-08-26-1520,20.6,23.9,271.0
2020-08-26-1525,19.4,22.2,264.0
2020-08-26-1530,21.0,23.7,263.0
2020-08-26-1535,22.2,27.0,265.0
2020-08-26-1540,19.2,23.3,265.0
2020-08-26-1545,18.5,20.6,264.0
2020-08-26-1550,20.0,22.5,261.0
2020-08-26-1555,20.0,23.7,258.0
2020-08-26-1600,19.4,21.6,262.0
2020-08-26-1605,19.4,22.5,266.0
2020-08-26-1610,20.2,22.7,274.0
2020-08-26-1615,21.0,24.1,272.0
2020-08-26-1620,20.8,23.1,267.0
2020-08-26-1625,20.6,24.9,270.0
2020-08-26-1630,19.8,23.1,273.0
2020-08-26-1635,20.8,24.3,270.0
2020-08-26-1640,21.6,24.5,268.0
2020-08-26-1645,21.6,23.5,261.0
2020-08-26-1650,21.4,24.3,261.0
2020-08-26-1655,20.0,25.1,258.0
2020-08-26-1700,18.9,23.1,257.0
2020-08-26-1705,21.4,24.1,257.0
2020-08-26-1710,20.4,23.1,252.0
2020-08-26-1715,21.2,23.7,254.0
2020-08-26-1720,18.9,22.9,248.0
2020-08-26-1725,19.8,22.5,258.0
2020-08-26-1730,19.8,22.2,257.0
2020-08-26-1735,16.9,18.3,255.0
2020-08-26-1740,18.7,21.6,258.0
2020-08-26-1745,19.4,22.2,254.0
2020-08-26-1750,19.4,21.2,262.0
2020-08-26-1755,18.5,20.4,264.0
2020-08-26-1800,16.3,18.5,262.0
2020-08-26-1805,18.7,21.0,266.0
2020-08-26-1810,18.1,20.0,261.0
2020-08-26-1815,19.2,21.2,261.0
2020-08-26-1820,17.9,19.4,255.0
2020-08-26-1825,18.7,20.8,263.0
2020-08-26-1830,18.9,23.3,263.0
2020-08-26-1835,19.0,20.6,258.0
2020-08-26-1840,16.9,19.4,262.0
2020-08-26-1845,19.0,21.8,261.0
2020-08-26-1850,17.3,18.9,251.0
2020-08-26-1855,18.3,20.6,257.0
2020-08-26-1900,18.1,20.2,255.0
2020-08-26-1905,19.8,21.8,257.0
2020-08-26-1910,19.0,21.6,260.0
2020-08-26-1915,18.9,21.4,255.0
2020-08-26-1920,17.5,20.8,259.0
2020-08-26-1925,19.2,21.2,259.0
2020-08-26-1930,19.2,22.4,258.0
2020-08-26-1935,17.5,19.4,259.0
2020-08-26-1940,17.7,20.2,257.0
2020-08-26-1945,18.3,20.8,257.0
2020-08-26-1950,18.7,21.4,261.0
2020-08-26-1955,16.9,19.2,264.0
2020-08-26-2000,17.9,20.4,263.0
2020-08-26-2005,17.9,20.4,263.0
2020-08-26-2010,20.8,23.1,262.0
2020-08-26-2015,17.9,21.0,270.0
2020-08-26-2020,16.9,20.0,260.0
2020-08-26-2025,16.9,20.0,260.0
2020-08-26-2030,16.9,20.0,260.0
2020-08-26-2035,20.4,22.5,258.0
2020-08-26-2040,26.6,30.1,256.0
2020-08-26-2045,26.6,30.1,256.0
2020-08-26-2050,11.1,12.2,236.0
2020-08-26-2055,13.0,15.2,247.0
2020-08-26-2100,19.2,23.1,254.0
2020-08-26-2105,17.5,19.2,259.0
2020-08-26-2110,20.0,21.8,261.0
2020-08-26-2115,19.6,21.8,264.0
2020-08-26-2120,19.4,22.2,257.0
2020-08-26-2125,19.4,23.1,260.0
